city,distance
Belgium - Brussels - Brussels,1076
Switzerland - Bern - Bern,1078
San Marino - San Marino,1097
Italy - Milan,1098
Kosovo - Pristina,1104
Montenegro - Podgorica,1125
Bulgaria - Sofia,1128
Ukraine - Dnipro,1177
North Macedonia - Skopje,1180
Switzerland - Geneva - Geneva,1208
Italy - Turin,1209
Russia - Moscow,1220
Albania - Tirana,1247
France - Ile-de-France - Paris,1289
Italy - Rome,1303
Vatican City State - Vatican City,1303
Monaco - Monaco,1336
Russia - Ryazan,1343
France - Provence-Alpes-Cote d'Azur - Nice,1347
United Kingdom - England - London,1362
Italy - Naples,1365
United Kingdom - England - Birmingham,1461
Turkey - Istanbul,1462
Finland - Kemi,1494
United Kingdom - Scotland - Edinburgh,1532
Turkey - Bursa,1547
United Kingdom - Wales - Cardiff,1569
Finland - Rovaniemi,1590
United Kingdom - Scotland - Glasgow,1597
Isle of Man - Douglas,1612
Russia - Nizhny Novgorod,1623
Greece - Athens,1649
Turkey - Izmir,1673
United Kingdom - Northern Ireland - Belfast,1704
Turkey - Ankara,1726
Ireland - Dublin,1738
Andorra - Andorra La Vella,1758
Spain - Barcelona - Barcelona,1813
Faroe Islands - Torshavn,1892
Malta - Valletta,1895
Tunisia - Tunis,1902
Norway - Tromso,1906
Russia - Kazan,1940
Spain - Majorca - Palma,1945
Russia - Murmansk,1960
Russia - Samara,2034
Kazakhstan - Oral,2168
Algeria - Algiers,2184
Russia - Izhevsk,2189
Cyprus - Nicosia,2212
Spain - Madrid,2230
Georgia - Tbilisi,2237
Libya - Tripoli,2245
Armenia - Yerevan,2333
Russia - Perm,2369
Russia - Ufa,2383
Lebanon - Beirut,2425
Syria - Damascus,2497
Israel - Tel Aviv,2579
Israel - Jerusalem,2627
Jordan - Amman,2637
Russia - Yekaterinburg,2639
Russia - Belushya Guba,2651
Azerbaijan - Baku,2652
Egypt - Cairo,2672
Gibraltar - Gibraltar,2679
Iceland - Reykjavik,2692
Portugal - Lisbon,2694
Norway - Svalbard - Longyearbyen,2867
Greenland - Ittoqqortoormiit,2882
Iraq - Baghdad,2911
Morocco - Rabat,2947
Morocco - Casablanca,3029
Iran - Tehran,3113
Greenland - Danmarkshavn,3137
Turkmenistan - Ashgabat,3388
Kuwait - Kuwait City,3461
Russia - Omsk,3462
Kazakhstan - Nursultan,3492
Saudi Arabia - Riyadh,3844
Portugal - Azores - Ponta Delgada,3849
Russia - Norilsk,3879
Uzbekistan - Tashkent,3890
Bahrain - Manama,3895
Western Sahara - El Aaiun,3921
Greenland - Kangerlussuaq,4000
Russia - Novosibirsk,4032
Qatar - Doha,4034
Tajikistan - Dushanbe,4040
Greenland - Nuuk,4125
Canada - Nunavut - Alert,4133
Kyrgyzstan - Bishkek,4149
United Arab Emirates - Dubai - Dubai,4247
Sudan - Khartoum,4252
United Arab Emirates - Abu Dhabi - Abu Dhabi,4267
Kazakhstan - Almaty,4281
Russia - Khatanga,4337
Greenland - Qaanaaq,4348
Afghanistan - Kabul,4361
Greenland - Thule Air Base,4363
Eritrea - Asmara,4464
Chad - N'Djamena,4504
Oman - Muscat,4588
Niger - Niamey,4604
Yemen - Sana,4658
Pakistan - Islamabad,4686
Burkina Faso - Ouagadougou,4843
Mauritania - Nouakchott,4921
Pakistan - Lahore,4934
Nigeria - Abuja,4947
Canada - Newfoundland and Labrador - St. John's,4994
Pakistan - Sindh - Karachi,5002
Djibouti - Djibouti,5005
Mali - Bamako,5068
Ethiopia - Addis Ababa,5126
Nigeria - Lagos,5325
Senegal - Dakar,5326
Benin - Porto Novo,5340
Central African Republic - Bangui,5343
India - Delhi - New Delhi,5365
Gambia - Banjul,5398
South Sudan - Juba,5400
Togo - Lome,5417
Cameroon - Yaounde,5449
Ghana - Accra,5521
Canada - Nova Scotia - Halifax,5857
India - Maharashtra - Mumbai,5887
Nepal - Kathmandu,5986
Kenya - Nairobi,6177
Congo Dem. Rep. - Kinshasa,6316
Canada - Quebec - Montreal,6378
USA - Massachusetts - Boston,6475
Canada - Ontario - Ottawa,6503
India - West Bengal - Kolkata,6612
Bangladesh - Dhaka,6657
India - Karnataka - Bangalore,6721
USA - New York - New York,6779
Canada - Ontario - Toronto,6849
China - Beijing Municipality - Beijing,7017
USA - Michigan - Detroit,7158
USA - Illinois - Chicago,7441
Myanmar - Yangon,7628
South Korea - Seoul,7812
Vietnam - Hanoi,7923
China - Shanghai Municipality - Shanghai,8049
Thailand - Bangkok,8187
Hong Kong - Hong Kong,8362
Taiwan - Taipei,8588
Japan - Tokyo,8640
South Africa - Johannesburg,8761
Cuba - Havana,8772
Venezuela - Caracas,8860
USA - California - San Francisco,9349
Philippines - Manila,9477
Singapore - Singapore,9499
USA - California - Los Angeles,9582
Mexico - Ciudad de Mexico - Mexico City,10104
Indonesia - Jakarta Special Capital Region - Jakarta,10351
Argentina - Buenos Aires,12248
